orf_name	Length	Mol_weight	PI
368051-370991(+)_1	979	111582.0	6.0532
371977-373042(+)_1	354	41689.46	9.1801
373500-373989(-)_1	162	18294.87	4.484
375129-376422(+)_1	430	44432.37	4.7851
376437-376539(+)_1	7	920.1	10.0398
377075-379970(-)_1	964	110493.55	6.0787
380312-382589(-)_1	758	84023.13	8.0358
382963-387136(-)_1	1390	158785.24	4.5484
389736-390285(-)_1	110	12325.19	7.239
392264-393728(+)_1	487	55386.39	6.782
394196-397124(+)_1	975	105780.98	9.1099
397428-397992(-)_1	36	4065.78	8.018
399235-400159(+)_1	307	33471.02	10.4273
400496-400973(-)_1	32	3850.43	6.4509
402052-402304(-)_1	8	890.15	9.15
403251-406080(-)_1	942	106059.86	9.3763
406803-407868(+)_1	354	40111.67	7.6094
408028-408805(-)_1	258	28916.1	4.1846
409239-409539(-)_1	99	11532.04	10.5392
409922-410024(-)_1	5	495.5	3.7498
410192-410522(-)_1	109	12316.07	6.6822
410721-412125(-)_1	467	52841.91	4.4409
412609-414013(-)_1	467	52776.88	4.3933
414454-415858(-)_1	467	53071.21	4.4389
416905-419167(+)_1	753	86511.82	4.7498
419278-420586(-)_1	435	49354.37	4.764
420917-421610(+)_1	230	27100.31	8.0486
421842-426207(+)_1	1454	166542.94	6.6874
426399-428478(+)_1	692	79384.99	7.8261
428713-429586(-)_1	290	32527.22	4.4746
429961-432223(-)_1	753	86083.75	9.1912
432626-434252(+)_1	541	60106.35	4.5352
434607-435597(+)_1	329	36370.09	9.7913
435834-436926(-)_1	363	41492.38	6.7331
437610-438177(+)_1	188	21230.93	9.635
438742-439480(-)_1	245	28133.49	5.1255
439770-442662(+)_1	963	105521.34	9.121
442923-443367(-)_1	147	16134.87	3.921
443872-445222(+)_1	449	51845.54	8.6504
445762-446470(-)_1	235	26366.15	5.452
446769-447209(+)_1	73	8494.7	7.0066
447516-450579(-)_1	1020	113776.86	4.8093
452056-454417(+)_1	786	90830.03	8.3299
454544-458723(-)_1	1392	155593.17	5.687
459170-461216(-)_1	681	75030.31	6.0223
462366-463743(+)_1	458	50048.68	9.5697
464022-465009(+)_1	301	34845.54	10.8032
465118-465607(-)_1	162	18498.4	10.2367
466069-468067(-)_1	665	75166.69	5.9936
468709-469243(-)_1	177	20096.79	10.0612
469476-471432(-)_1	651	73693.57	5.0591
471904-473086(-)_1	393	44061.71	7.5405
473610-475098(-)_1	495	56146.78	5.6152
475671-475812(+)_1	18	2057.45	5.4919
476051-477602(-)_1	516	57623.1	4.7177
477877-478912(-)_1	344	40241.92	10.0757
479161-480133(-)_1	323	37575.44	7.0529
480390-481668(-)_1	425	47630.19	9.4222
481957-484078(+)_1	706	81141.96	4.9178
484273-486067(-)_1	597	67296.02	7.6789
486424-488911(-)_1	828	94863.91	6.4359
489458-489902(+)_1	147	17373.29	6.2865
490291-497398(+)_1	2368	273435.24	8.5912
497664-498204(+)_1	179	20450.29	6.4825
498413-499988(-)_1	524	60320.75	7.1747
500319-501819(+)_1	499	56545.81	4.9811
502017-511287(-)_1	3089	350639.44	6.3619
511686-512703(-)_1	338	38562.75	9.9745
512868-515271(+)_1	800	90143.88	8.5804
515502-516816(-)_1	437	48978.53	4.6673
518340-519396(+)_1	351	37558.02	6.7579
519775-520612(+)_1	278	31891.12	10.704
521084-522008(+)_1	307	34742.75	5.1424
522413-524273(+)_1	619	71323.71	9.1595
524563-525598(+)_1	344	38814.61	6.1095
526188-527223(+)_1	344	38949.75	6.5018
527415-530511(-)_1	1031	119995.63	6.2381
531080-532031(+)_1	316	35649.71	7.374
532423-533287(+)_1	287	33398.72	5.7093
533476-534211(+)_1	244	27086.18	6.7457
534380-535028(-)_1	215	25093.1	9.5012
535785-536943(+)_1	385	44430.97	5.7151
537110-539210(-)_1	699	79455.98	10.8109
539564-540332(-)_1	255	28824.73	9.5962
542586-544266(+)_1	559	64108.14	9.5669
544732-545776(+)_1	347	38705.03	9.6343
546210-547107(+)_1	298	34092.51	8.4247
547762-548899(+)_1	378	44633.32	9.013
549333-550692(-)_1	452	47758.26	4.3156
551347-551542(+)_1	27	3334.01	12.8073
551839-553603(+)_1	587	68352.49	7.2078
554079-554631(-)_1	183	20434.39	4.5453
555051-555885(+)_1	277	32124.18	9.1202
556035-557385(-)_1	449	50883.58	7.5396
557664-558087(-)_1	140	15936.37	9.6874
558560-559802(+)_1	413	48552.11	6.8252
560091-562173(-)_1	693	77768.82	4.9368
562507-564250(-)_1	580	65543.84	5.8086
564534-565155(+)_1	206	24291.03	6.4966
565325-567554(-)_1	742	82123.85	7.8327
567892-568339(-)_1	148	16758.83	5.2361
568571-569519(+)_1	315	34572.45	5.9807
569882-570821(+)_1	312	34557.16	8.36
570996-572352(-)_1	451	51061.16	8.523
572735-575303(-)_1	855	97910.69	6.4773
575944-577663(+)_1	572	63241.81	9.278
577981-579023(-)_1	165	18960.34	11.7245
579729-581073(-)_1	447	49647.6	9.8997
582358-583312(+)_1	317	36625.9	8.1366
583652-585314(+)_1	553	64454.52	9.9466
585494-586331(-)_1	278	31955.28	10.4283
586918-588688(+)_1	535	60527.28	5.116
588983-589826(+)_1	280	30518.83	4.8498
590043-590439(-)_1	131	14741.35	7.1382
591728-591878(+)_1	49	5299.74	4.7185
592571-593442(+)_1	147	16675.41	10.8682
593934-595068(+)_1	377	42145.6	10.151
595381-596038(-)_1	218	25013.06	5.1576
596317-596707(+)_1	129	15163.04	10.6177
596902-598171(-)_1	422	47385.71	5.3609
598541-600206(-)_1	554	61283.25	6.419
601681-602350(-)_1	222	24970.09	7.8243
602609-605012(-)_1	800	89358.83	6.6507
605428-606808(+)_1	459	54066.67	4.6839
607459-609136(+)_1	558	62136.92	8.8903
610135-610771(+)_1	211	24487.0	7.8009
611040-611241(-)_1	6	676.87	5.55
612335-614873(+)_1	845	94877.66	4.8788
615722-618503(+)_1	926	104954.25	10.3261
618816-619944(-)_1	375	43299.07	7.3556
620196-621417(+)_1	406	47753.55	8.825
621700-623092(+)_1	463	51477.18	4.8818
623253-628761(-)_1	1835	201679.86	5.2035
629532-629604(-)_1	4	534.63	5.55
630785-630890(-)_1	10	1059.33	3.7498
631645-632077(+)_1	143	16502.6	5.0182
632199-633174(-)_1	324	37331.45	4.556
633902-636113(+)_1	736	82338.71	8.4318
636564-637389(+)_1	274	31639.48	6.5945
637616-639206(+)_1	529	57425.45	9.4006
639554-641516(+)_1	609	65950.42	9.7463
641780-643805(-)_1	674	78119.97	5.9236
644046-644607(+)_1	186	21048.84	8.2473
644932-648475(-)_1	1180	130013.69	6.4018
649219-650902(-)_1	560	63422.38	9.4688
651366-652464(-)_1	365	39939.57	4.8625
652928-654560(-)_1	543	60559.76	9.6992
654876-656475(-)_1	532	60999.81	8.0704
656568-656727(+)_1	26	2841.06	3.9798
656813-659519(+)_1	901	101340.8	8.8486
659800-661306(-)_1	501	55985.24	7.1421
661482-662397(+)_1	304	35839.67	9.6304
662537-665405(-)_1	955	110264.4	6.143
665694-666111(-)_1	138	15114.42	9.4369
666504-666702(+)_1	18	1902.25	8.2843
668322-669225(-)_1	300	34195.46	4.6376
669561-670809(+)_1	415	46119.56	7.3599
671107-671383(+)_1	6	860.08	10.323
671568-672723(-)_1	384	42207.68	6.8567
673033-676369(+)_1	1111	123620.29	8.5198
676484-677795(-)_1	436	50351.86	7.9977
678056-680609(+)_1	850	95999.74	8.6039
681214-683443(-)_1	742	85236.69	7.7775
684519-686112(-)_1	530	60230.9	8.6787
686675-688022(-)_1	448	51681.37	8.5516
688837-690304(-)_1	488	53885.62	8.4232
690912-691629(+)_1	238	27717.78	6.3487
691702-693049(-)_1	448	50473.0	7.9939
693798-694287(+)_1	162	18548.24	8.4397
694418-697628(-)_1	1069	123819.25	5.9439
697876-699040(+)_1	387	43230.21	5.087
699237-700680(-)_1	480	55066.64	4.585
701008-702667(-)_1	552	60843.93	5.3113
703107-704220(-)_1	370	39664.07	6.9005
705233-706805(+)_1	523	59811.35	7.9581
707535-708459(+)_1	307	34834.02	10.1444
708766-709210(+)_1	147	15365.39	7.0109
709424-709790(+)_1	121	13910.71	4.1257
709893-710424(-)_1	176	19654.14	6.6403
710616-712701(+)_1	694	79294.39	10.3251
712803-713239(-)_1	82	9413.25	9.0592
713554-714271(-)_1	238	26080.49	4.4514
714955-715795(+)_1	279	32539.49	9.8143
715804-716233(-)_1	142	16517.44	5.1368
716456-718526(+)_1	689	81121.85	9.3032
718703-720701(-)_1	665	74744.25	8.5126
720886-721585(-)_1	232	26150.59	4.3146
721767-722088(-)_1	106	12296.8	9.7167
722306-723779(+)_1	490	53860.47	8.1264
723816-724416(-)_1	199	22100.37	5.7512
724617-725580(+)_1	320	36044.73	6.4836
725889-727071(+)_1	393	45891.56	5.5668
727355-727673(+)_1	105	11999.78	10.8269
727853-728306(-)_1	150	16772.95	6.8489
728445-730083(-)_1	545	61471.83	8.9798
730530-731784(+)_1	417	48129.8	4.8394
732001-733486(-)_1	494	57090.58	4.7103
733695-734985(-)_1	429	49324.36	6.4591
735213-736797(+)_1	527	59975.03	6.9854
736974-742734(-)_1	1919	218564.48	6.0878
743352-745776(-)_1	807	91285.56	6.9516
746020-746623(+)_1	200	22490.07	4.3944
746963-748247(+)_1	427	49746.01	4.5606
748443-750360(-)_1	638	70904.97	6.0125
750641-753278(-)_1	878	98244.18	5.6277
753908-754349(+)_1	146	16485.14	10.7066
754607-756080(-)_1	490	53467.97	8.0929
756903-759297(+)_1	797	92298.08	6.9944
759572-760007(+)_1	144	16728.77	7.7692
760362-761976(+)_1	537	60263.37	4.7674
762240-763524(+)_1	427	47374.32	4.6407
763686-765141(-)_1	484	54958.41	6.0978
765334-768094(+)_1	919	104725.03	7.2248
768215-769286(+)_1	356	39715.21	4.5833
769408-770308(-)_1	299	32197.38	10.2036
773093-774518(+)_1	474	51749.03	9.5221
775288-777880(+)_1	863	96531.88	6.9942
778945-782284(+)_1	1112	121383.59	7.2634
782672-784397(-)_1	574	62678.6	6.4998
786436-787846(+)_1	469	54478.37	6.6903
3475-4723(+)_1	415	48915.34	9.0685
6038-6335(+)_1	6	859.01	11.1404
6335-6980(+)_1	214	24491.55	4.558
7471-7834(-)_1	120	12789.57	4.9556
7835-8368(+)_1	107	12561.04	11.9536
9627-10765(-)_1	279	32580.94	5.9529
11617-13459(+)_1	613	68649.73	7.1012
17222-18305(-)_1	360	39345.26	8.2811
18713-19991(+)_1	425	48109.12	8.0141
20225-23567(-)_1	1113	126547.33	4.7393
23879-24830(-)_1	316	37162.15	10.0026
25033-25375(+)_1	113	12817.03	11.1343
25486-25777(-)_1	20	2105.45	7.6826
26212-28351(+)_1	712	82219.12	5.5582
28370-28805(-)_1	144	16699.04	10.4388
29365-30370(+)_1	334	38521.88	8.345
32871-35382(+)_1	836	95912.3	8.1937
35545-36799(-)_1	417	47924.32	4.9761
37268-39047(+)_1	592	66231.19	8.4204
39266-40232(-)_1	321	36362.44	4.6111
41275-42199(-)_1	307	35166.68	4.6064
42932-43133(+)_1	28	3410.04	13.102
43599-44991(+)_1	463	51938.75	5.7324
45085-45913(-)_1	275	31639.59	8.9203
46052-48428(-)_1	791	90791.51	5.1724
48546-49797(-)_1	416	47293.29	9.7909
50072-51650(-)_1	525	58311.23	4.1465
52261-53764(+)_1	500	55382.37	5.8713
53955-56256(+)_1	766	86458.61	5.6578
56338-57925(-)_1	528	58925.68	7.7284
59067-60354(-)_1	428	47656.54	9.2481
60721-62407(+)_1	561	64290.44	8.0623
62545-62878(-)_1	110	12334.18	4.7301
63361-64414(+)_1	350	39643.9	5.1745
64479-64986(-)_1	168	18971.62	9.0056
65144-66185(+)_1	346	39373.32	5.316
66359-67253(-)_1	297	34545.54	9.474
67598-69998(-)_1	799	87601.93	4.8666
70261-71590(-)_1	442	51233.07	5.5021
71817-73005(+)_1	395	41665.64	6.6587
73416-74958(+)_1	513	57382.88	9.3804
75051-75633(-)_1	193	20943.62	6.4882
77145-79047(-)_1	633	69648.53	7.3507
80308-83407(+)_1	1032	115694.12	8.6668
89717-90812(+)_1	364	38952.89	5.4774
91179-92673(-)_1	497	54615.22	8.2399
93040-94183(-)_1	380	43984.76	6.0705
94750-99673(+)_1	1640	184749.51	5.8692
99792-100264(-)_1	120	13615.33	5.9019
100546-101833(-)_1	428	48816.86	6.0526
102048-102831(-)_1	260	29453.09	4.7361
103100-104030(-)_1	309	33913.69	6.6533
104187-105348(-)_1	386	43544.66	5.0684
105513-105639(-)_1	7	776.95	9.15
105514-105908(+)_1	31	3720.49	6.9705
106510-107293(+)_1	260	29319.82	6.8467
107602-109168(+)_1	521	59282.64	10.0767
109309-110176(-)_1	246	28792.25	9.7703
110400-110967(+)_1	188	22308.16	7.8746
111510-111687(+)_1	9	1174.42	8.7571
116531-117500(-)_1	322	37010.81	5.4658
117785-118337(+)_1	183	21457.0	10.6017
118740-119487(-)_1	248	26411.11	7.2896
120145-121528(-)_1	460	51584.51	6.2382
121738-122002(-)_1	7	809.98	5.55
122833-122905(-)_1	4	446.61	5.55
124340-125060(+)_1	239	27233.29	4.9398
127592-127666(+)_1	10	1081.37	7.7994
128343-130155(+)_1	603	66618.46	9.4945
130633-131431(-)_1	265	30234.44	6.5054
132168-133020(-)_1	283	30711.15	4.9468
133623-136773(-)_1	1049	116907.14	4.7411
137647-138898(+)_1	416	44796.51	7.5489
139082-140828(-)_1	581	67603.39	8.3761
141079-142048(-)_1	322	37323.52	5.1575
143710-144562(+)_1	283	32853.44	9.4502
144831-147696(-)_1	954	108028.75	6.022
148336-149002(-)_1	221	25334.74	10.5263
152070-153150(+)_1	359	40258.53	4.7977
153222-153870(-)_1	215	25113.53	4.8809
154055-154319(-)_1	11	1313.58	5.8614
154552-154786(+)_1	16	1842.36	11.2772
155377-156376(-)_1	332	37354.17	4.987
156691-156994(-)_1	88	10043.84	10.3993
157769-159605(-)_1	611	69067.82	7.2765
159964-161443(-)_1	492	56444.47	8.0046
161795-162054(-)_1	13	1659.13	9.3247
162130-162250(-)_1	3	307.36	5.55
162627-163002(-)_1	91	10653.91	11.6799
163264-165493(-)_1	742	85056.61	4.4949
166496-167126(-)_1	209	23506.01	6.4724
168987-170535(-)_1	515	58737.88	6.4932
171047-171533(-)_1	161	18671.93	6.7215
171933-174546(-)_1	870	96578.01	7.7175
175613-176332(-)_1	92	9695.22	11.7533
177657-184158(+)_1	2166	250515.87	6.3771
184625-188300(+)_1	1224	138844.53	9.8065
188711-189755(+)_1	347	39831.95	9.5247
189957-191139(-)_1	393	43915.04	4.5943
191407-192412(+)_1	334	36752.88	5.4174
192526-195298(-)_1	923	102712.01	6.5134
195723-197478(-)_1	584	68450.29	6.8117
197574-198261(-)_1	228	26491.92	10.5043
198229-198661(+)_1	88	10330.09	10.8052
198299-198892(+)_1	88	10330.09	10.8052
198833-199157(+)_1	107	12527.07	8.0283
199115-203312(-)_1	1398	159591.08	5.5504
204399-204783(-)_1	127	14839.91	5.1133
204988-206065(-)_1	358	42486.69	8.0731
206257-207733(-)_1	491	55409.26	4.9274
208059-208569(-)_1	169	19436.8	11.0033
208817-209645(-)_1	275	30811.27	9.452
210059-211874(+)_1	604	70316.66	9.0533
212076-212817(+)_1	246	27567.26	4.1246
213064-214501(+)_1	478	53743.58	4.4412
214740-216285(+)_1	514	57537.39	5.8164
216441-218133(-)_1	563	65270.84	4.8151
218521-221296(-)_1	924	104175.36	4.6134
221506-222283(-)_1	258	29122.77	4.285
222474-222822(+)_1	115	12816.52	5.1693
223615-225496(+)_1	626	69703.01	6.4591
227723-227822(+)_1	12	1574.82	9.7608
228105-228579(+)_1	157	18497.41	9.9526
229098-230787(+)_1	562	63407.19	6.8968
231266-232730(+)_1	487	55447.57	8.5338
