orf_name	Length	Mol_weight	PI
167677-171632(-)__1	47	5797.77	8.2618
175613-176332(-)__1	49	5431.49	7.9421
198229-198892(+)__1	18	2208.75	10.7919
294320-296420(+)__1	36	4374.95	5.477
300361-300976(-)__1	29	3304.89	6.9689
43308-45460(+)__1	51	5958.16	9.6523
58681-61005(+)__1	69	7784.2	8.0012
95876-96736(+)__1	32	3621.27	4.6355
100232-102014(+)__1	33	3873.56	11.878
107066-107551(-)__1	23	2642.14	11.3778
192638-193829(+)__1	50	5812.86	8.1404
194152-195397(+)__1	33	4051.74	10.2515
198175-198565(-)__1	38	4542.37	9.1298
206551-208943(+)__1	42	4793.85	12.0346
212685-216212(-)__1	66	7928.21	6.4463
228350-231838(-)__1	58	6792.95	9.8041
244338-245331(+)__1	44	4791.6	12.5331
283414-284269(-)__1	55	6047.0	8.058
284833-285981(+)__1	66	7669.91	9.9542
298684-299437(+)__1	31	3778.51	10.4772
313920-314297(+)__1	26	3220.87	11.0888
317029-317695(-)__1	36	4185.69	9.02
379505-380805(+)__1	53	6030.17	5.6398
405608-407879(+)__1	47	5573.72	9.0511
409168-410323(+)__1	32	3665.3	6.9696
409168-410503(+)__1	105	12189.54	9.398
412842-413476(-)__1	13	1473.71	9.1715
416593-416817(-)__1	3	392.47	10.0
435631-440782(-)__1	67	7859.42	10.5968
469723-470759(-)__1	46	5405.44	8.2688
472982-473801(+)__1	38	4319.12	11.6135
493837-494060(+)__1	43	5116.11	10.2307
535772-536354(-)__1	39	4539.43	8.0418
546272-547272(+)__1	36	4282.12	9.0114
587225-587835(-)__1	19	2139.5	10.8987
594619-595293(+)__1	28	3328.06	12.5
596016-596788(+)__1	43	4875.86	7.8012
613533-616786(+)__1	94	11601.83	10.6677
674238-676579(-)__1	57	6652.62	11.9361
683696-684159(+)__1	23	2659.03	10.4367
694138-694651(-)__1	38	4825.78	11.0111
718157-722225(+)__1	36	4227.91	9.2021
800892-801520(+)__1	21	2475.93	11.4779
826391-827040(+)__1	40	4702.67	10.1662
826627-827040(+)__1	24	2613.12	10.4424
889959-891023(-)__1	43	5108.99	9.9254
999206-1005008(-)__1	51	6173.1	10.5951
1030207-1031459(+)__1	30	3699.54	10.947
1077502-1090809(-)__1	107	12412.69	6.8312
1077502-1090859(-)__1	68	7747.96	8.1189
1080998-1090809(-)__1	69	8238.98	10.2543
1100676-1101968(+)__1	52	5994.17	5.561
1132518-1133773(+)__1	42	4995.01	10.5635
1156883-1158446(+)__1	49	5690.98	8.5135
1158760-1159590(-)__1	64	7015.98	6.9165
1240173-1240646(-)__1	33	3992.58	10.1099
1249515-1253706(+)__1	64	7535.98	10.4622
1249515-1253579(+)__1	79	9305.02	7.3216
1276156-1277025(-)__1	29	3531.2	5.8891
1280442-1280750(-)__1	10	1259.49	8.8216
1281223-1282312(+)__1	41	4630.29	7.0054
1323094-1324185(+)__1	37	4162.84	12.2626
1371848-1372079(-)__1	21	2615.92	8.0144
1371848-1376187(-)__1	72	8389.66	9.6958
1383358-1383609(-)__1	9	1047.32	5.5494
1384236-1388725(-)__1	51	6177.25	6.9457
1406540-1408362(+)__1	39	4561.26	9.0391
1412060-1412723(-)__1	34	3901.53	5.4951
1433749-1436429(-)__1	75	8470.15	8.4885
13261-14187(+)__1	42	4985.96	8.9882
63333-64014(+)__1	21	2498.01	4.3614
94794-95112(-)__1	46	5500.48	10.1443
132674-137169(+)__1	84	9840.69	10.5301
137750-138905(+)__1	47	5759.77	11.0313
142019-142492(+)__1	23	2746.36	7.0023
152102-152668(+)__1	38	4721.58	10.1685
155203-155783(-)__1	50	5734.62	9.2613
161275-163474(-)__1	58	6795.02	10.5457
170551-171201(-)__1	25	3116.67	5.5273
253164-254254(+)__1	20	2415.08	10.2417
273518-274282(-)__1	30	3630.26	5.7136
292450-292735(-)__1	35	3889.63	6.9396
293387-293746(+)__1	37	4393.14	8.0785
296040-297581(-)__1	41	5084.32	10.2486
314639-316638(+)__1	36	4206.06	11.1993
356353-357986(-)__1	39	4702.42	9.5196
362279-363828(+)__1	47	5616.77	10.4693
371569-372806(+)__1	29	3617.15	12.0587
405638-406514(+)__1	35	3909.4	6.9667
432331-433332(+)__1	39	4741.37	7.9517
439544-440141(-)__1	20	2309.58	4.2577
440853-442771(+)__1	55	6492.62	9.9636
443509-444064(-)__1	39	4782.77	9.8814
448937-449909(-)__1	7	878.01	5.2713
454112-454632(-)__1	36	4163.95	10.1072
554084-555672(+)__1	51	5874.8	7.824
558577-560501(-)__1	41	4943.73	10.9325
5345-6221(+)__1	53	6380.64	11.6166
68370-70248(-)__1	76	8663.32	9.4796
78039-79447(-)__1	42	4998.66	8.5388
79510-80364(-)__1	31	3518.21	5.4712
150926-151214(-)__1	20	2441.85	6.9681
173976-174859(+)__1	26	2850.33	4.5573
175400-176055(-)__1	40	4885.88	10.0035
179840-180755(+)__1	34	4227.17	11.6954
191744-192609(+)__1	42	5011.87	11.5586
198173-198846(+)__1	30	3421.07	5.9642
235283-236198(+)__1	39	4448.13	9.0451
284465-284979(-)__1	21	2646.25	10.092
323414-323941(+)__1	34	4233.15	9.1949
343035-344407(+)__1	41	4740.62	9.1622
353686-354139(+)__1	33	3960.72	9.7767
356519-356906(-)__1	23	2470.94	4.2576
391717-392686(+)__1	35	4111.88	11.2097
396589-398932(+)__1	63	7127.5	10.3679
399337-399758(+)__1	17	2107.52	8.0072
406482-407424(-)__1	35	3917.66	6.9713
412713-413962(+)__1	41	4903.54	5.3764
453089-453316(+)__1	12	1416.7	5.3422
467709-468546(-)__1	21	2531.0	8.5992
484780-485234(-)__1	38	4501.02	6.0807
541251-542114(-)__1	39	5042.11	11.1829
603852-605652(-)__1	27	3269.99	7.8659
613849-614278(-)__1	20	2380.74	3.4918
649776-651321(-)__1	47	5417.42	10.2259
684935-685644(-)__1	48	5872.98	10.6005
728004-733850(+)__1	88	10004.63	8.1322
748134-748857(+)__1	43	5354.3	9.5576
766908-768251(-)__1	56	6663.88	9.2712
56837-57767(+)__1	49	5400.36	11.3858
67462-67874(-)__1	30	3446.17	8.5621
89268-90612(-)__1	37	4121.91	9.9241
105389-105607(-)__1	12	1517.85	8.6413
143720-144963(-)__1	41	4875.61	7.8659
161956-166455(+)__1	52	6360.46	10.4019
243737-246950(+)__1	59	6773.9	9.6917
282110-282498(+)__1	12	1511.76	8.7571
306280-307232(+)__1	39	4540.35	10.9857
322027-322326(-)__1	20	2571.12	7.1964
340320-341353(-)__1	25	2805.24	10.2319
353155-360393(-)__1	82	9754.53	9.7948
377935-383258(+)__1	123	14436.63	12.1674
413290-414320(-)__1	92	10830.73	10.0792
428805-429795(-)__1	41	4764.26	4.2653
430272-431181(+)__1	25	2949.44	9.2374
488941-489919(-)__1	32	3734.41	8.7557
542988-543253(-)__1	18	2050.36	8.994
552514-552782(-)__1	23	2783.15	3.7774
553115-555865(-)__1	73	8615.89	7.6336
562955-566294(-)__1	46	5400.15	7.913
581318-582573(-)__1	52	5875.74	9.3528
583972-584808(-)__1	46	5361.04	10.0217
587163-587554(+)__1	48	5491.4	10.4219
602469-603981(+)__1	61	6662.8	11.0687
622364-627684(-)__1	73	8693.53	10.0202
69133-69753(+)__1	28	3211.95	8.8174
83158-84161(+)__1	35	4002.72	5.9471
86408-87014(+)__1	19	2179.65	11.6759
95380-96134(-)__1	61	7298.62	9.7882
106010-106969(+)__1	36	4284.95	10.5635
108967-110358(+)__1	46	5423.62	8.7275
112721-113012(-)__1	6	727.88	7.0004
113376-113633(-)__1	42	4892.81	9.1089
113917-114226(-)__1	40	5041.88	7.7471
116848-121774(-)__1	62	7302.74	11.0687
127297-128222(-)__1	37	4310.19	11.5965
168669-169863(-)__1	42	4726.72	9.7424
214444-215211(-)__1	46	5264.89	6.1934
227776-229015(+)__1	54	6332.35	7.4213
229049-232471(-)__1	62	7102.17	10.1021
263668-269321(-)__1	78	9575.18	9.7042
263828-269321(-)__1	90	10116.75	9.6802
273673-275159(-)__1	67	7867.11	9.0612
290487-292433(-)__1	83	9526.12	8.7521
331151-334788(+)__1	66	7570.91	10.2471
358786-359553(-)__1	24	2930.34	10.8677
366185-367014(-)__1	37	4312.13	11.1775
479180-480310(-)__1	52	5768.87	7.522
4642-5295(-)__1	14	1620.82	7.9891
32797-35038(+)__1	94	10843.63	10.108
46211-47219(+)__1	32	3817.54	5.4042
76252-77154(-)__1	90	10724.29	8.9054
105279-109556(+)__1	79	9206.81	11.3515
109983-111963(-)__1	52	5623.57	7.6782
111906-114449(+)__1	57	7170.57	9.8577
144039-145865(+)__1	36	4287.0	6.9378
195793-201046(-)__1	53	6036.25	9.6603
206346-207167(-)__1	57	6630.93	11.6081
230382-231192(-)__1	30	3494.11	8.6405
291324-292469(+)__1	64	7159.16	6.4551
299077-300227(+)__1	28	3147.69	6.4289
323746-324960(-)__1	52	5848.85	9.8308
361046-362641(-)__1	37	4344.07	7.9893
363598-364627(-)__1	66	7526.56	8.505
404646-406581(+)__1	48	5803.75	10.4454
417722-418247(-)__1	12	1348.67	10.8004
11526-12064(-)__1	22	2443.93	10.4422
57554-58450(-)__1	42	4713.31	10.8677
73745-75755(+)__1	44	5511.42	6.9702
88806-89670(+)__1	47	5403.49	11.8838
137233-137911(-)__1	46	5305.16	9.2797
153874-155070(-)__1	37	4294.14	10.3238
163180-170635(-)__1	101	11757.73	9.5355
195329-195861(-)__1	15	1754.12	4.2577
347890-349107(+)__1	41	4648.29	9.9779
355621-358321(-)__1	101	12018.92	11.0971
391821-392913(-)__1	61	7063.2	4.8179
432050-433174(+)__1	29	3645.43	10.4416
509961-510231(-)__1	50	5577.68	10.1091
510771-513183(-)__1	40	4756.41	11.2567
529196-529883(+)__1	41	4880.9	8.5007
532028-532816(-)__1	40	4888.91	12.1107
597070-597867(+)__1	87	10408.23	7.3965
691069-692133(-)__1	48	5430.43	10.4415
58288-58811(+)__1	30	3273.98	7.8004
67711-68475(+)__1	30	3540.44	11.8885
69217-69424(+)__1	12	1407.72	3.7497
94762-95800(+)__1	61	7105.2	8.5293
121760-123195(+)__1	33	3921.58	6.7074
126993-127693(+)__1	38	4753.66	11.4503
128276-133291(-)__1	101	11413.59	8.9483
139624-143521(+)__1	64	7180.22	9.6944
143836-144769(+)__1	36	4439.28	9.0262
148216-149224(+)__1	21	2468.03	10.1022
205594-205894(-)__1	39	4531.44	12.0608
269095-272419(+)__1	55	6232.38	4.1562
288902-289166(-)__1	24	3273.95	11.9223
294332-295347(-)__1	24	2960.51	8.0157
300035-300901(-)__1	45	5394.38	10.2425
366738-366964(+)__1	22	2642.07	7.1964
418895-419714(+)__1	55	6440.43	10.3536
424030-425830(+)__1	40	4787.84	11.941
434924-437389(+)__1	95	10795.14	11.0241
479179-480246(-)__1	27	3100.54	11.7679
503619-504432(-)__1	50	6338.64	10.4388
541553-542676(+)__1	91	10687.56	9.9781
605887-608890(-)__1	46	5305.16	11.3863
615945-616286(+)__1	18	2144.62	8.7982
633878-636924(+)__1	54	6307.48	8.7927
636978-641232(+)__1	122	13929.42	10.1336
641494-643645(-)__1	67	7864.27	10.1486
10006-11527(-)__1	41	4751.63	12.5058
14101-14991(+)__1	23	2590.23	8.5437
24596-25229(-)__1	21	2472.88	8.557
75958-77130(+)__1	18	2178.77	10.7939
155337-155835(+)__1	28	3442.93	8.4501
185575-186318(+)__1	68	7797.1	7.9336
223246-224363(+)__1	40	4750.51	9.9511
243966-244729(+)__1	24	2648.07	10.9857
264714-266447(-)__1	28	3277.68	7.1594
306205-309132(-)__1	53	6078.09	10.4691
353878-354166(-)__1	15	1924.29	4.2577
372071-374598(-)__1	61	6483.59	8.805
379799-384053(+)__1	72	8210.52	10.3251
431490-432827(+)__1	76	8986.5	10.0021
433920-434739(+)__1	52	5857.79	6.89
469617-470256(+)__1	66	7498.82	11.0907
510438-511684(-)__1	28	3038.72	11.0566
632748-633461(+)__1	35	4018.78	10.1125
650455-651386(-)__1	42	4785.77	11.332
703343-704589(-)__1	42	5007.79	11.626
703433-704526(-)__1	101	11531.05	7.8063
732943-733760(-)__1	52	6208.15	10.039
735010-735590(-)__1	26	3172.74	7.7876
756601-757018(+)__1	20	2498.05	8.5197
757829-758792(+)__1	26	3071.67	11.0391
761686-762272(+)__1	23	2742.37	12.053
792339-800279(+)__1	48	5582.55	11.3594
794498-795995(+)__1	42	4793.69	4.043
869033-870478(-)__1	67	7957.75	8.8004
911735-919624(+)__1	56	6797.74	6.1604
957677-958416(+)__1	37	4225.04	10.9574
970622-971940(+)__1	33	4078.74	8.4604
991401-993690(+)__1	76	9098.87	8.9781
995111-997029(-)__1	58	6763.8	8.7048
9939-10753(+)__1	47	5326.02	4.6643
18378-20164(-)__1	39	4429.18	9.2393
63874-64154(-)__1	6	670.84	5.5289
79359-79964(+)__1	56	6649.71	11.1297
88898-89468(-)__1	36	4344.99	9.0383
95456-97141(-)__1	43	4742.59	8.0579
121216-122155(-)__1	47	5728.76	7.7794
135562-137688(-)__1	64	7442.83	6.7107
158253-161937(-)__1	52	6090.1	7.2779
194439-195081(+)__1	24	2756.31	4.2577
198192-201093(+)__1	55	6299.63	12.1947
211771-212607(-)__1	33	3673.12	6.0317
213034-214187(-)__1	20	2265.7	5.9645
214648-215673(+)__1	44	5196.12	11.417
225373-227706(+)__1	85	10434.08	10.4794
248145-248582(-)__1	24	2777.41	9.5674
276110-278459(-)__1	43	5097.01	7.1023
281599-282361(-)__1	55	6734.03	10.7566
315427-315875(-)__1	36	4254.05	9.1756
329410-333615(+)__1	56	6747.79	10.1398
337834-338395(+)__1	44	4897.72	7.3222
358943-360278(-)__1	47	5522.91	10.5629
409363-410766(+)__1	45	5252.0	8.0027
482159-484148(-)__1	79	9366.09	8.153
484537-485035(+)__1	12	1478.73	7.0004
486900-487491(+)__1	26	3083.7	9.2359
487614-487922(-)__1	23	2839.36	4.4258
493697-503201(+)__1	49	5863.89	11.2477
532750-533745(-)__1	36	4475.28	10.7045
534463-535420(+)__1	71	7866.13	4.1934
541771-544414(+)__1	106	11735.52	9.9163
635335-636112(+)__1	16	1790.24	11.6501
702185-705333(-)__1	47	5253.08	8.8007
716303-717075(+)__1	39	4375.22	10.9574
737612-738754(-)__1	55	6426.42	11.149
752980-753206(+)__1	33	4030.91	9.7312
789746-790159(+)__1	26	2979.37	5.9459
819845-820210(+)__1	42	4872.73	7.7149
837421-837918(+)__1	29	3383.02	12.2269
7311-7790(+)__1	53	6107.27	7.9739
32759-33926(+)__1	59	6746.93	4.8289
46165-47333(-)__1	37	4367.08	6.971
47690-48956(-)__1	62	7418.87	10.7205
80715-81733(-)__1	37	4396.01	5.4241
123299-124299(-)__1	40	4509.43	10.4716
161963-165434(+)__1	34	3858.44	11.0567
310407-311223(+)__1	52	5965.35	11.1227
330415-330934(+)__1	33	4080.13	12.7039
345404-345885(+)__1	47	5488.55	8.5226
359220-360494(-)__1	52	6358.68	9.2658
393282-396647(+)__1	49	5644.59	5.6291
422252-422863(+)__1	56	6694.02	10.6861
423300-424450(-)__1	26	2955.43	3.7371
473621-475371(-)__1	55	5847.77	3.9274
481298-485968(+)__1	66	8106.49	7.3204
508086-508993(-)__1	25	2966.23	4.7061
519207-520092(+)__1	59	6618.68	9.404
533724-534917(+)__1	34	4153.97	9.6952
581256-583195(+)__1	64	7196.73	9.758
673889-674353(+)__1	20	2416.83	5.9857
678678-680945(-)__1	45	5093.18	8.5235
726703-728503(+)__1	26	3181.75	11.3778
0-597(-)__1	73	8311.91	10.2585
0-2463(+)__1	64	7473.93	7.7881
4446-5181(+)__1	22	2532.0	11.6759
48549-49388(+)__1	63	7349.43	7.6736
59859-62594(-)__1	41	4639.3	6.4168
91415-91693(+)__1	18	2167.63	5.8603
206289-207508(-)__1	82	9339.84	8.5105
221008-221253(-)__1	18	2033.3	5.4304
248057-248830(+)__1	48	5382.54	7.1617
267987-268598(+)__1	89	10736.63	9.8881
403992-404623(-)__1	34	4187.83	9.7474
447602-448584(+)__1	43	4899.64	4.5869
466865-467829(+)__1	29	3331.93	10.6486
513194-514004(-)__1	23	2607.17	4.1089
620304-620642(-)__1	48	5948.94	10.196
620763-621754(+)__1	36	4029.89	10.4933
626894-627472(-)__1	42	5183.98	9.3695
629137-630007(-)__1	26	2998.59	10.115
634271-634884(-)__1	24	2590.76	4.1457
728229-729093(-)__1	37	4291.18	10.4444
816569-817315(+)__1	62	7555.98	10.4741
850054-851152(-)__1	29	3310.13	10.9972
919337-919661(+)__1	11	1227.46	5.5284
964438-966013(+)__1	46	5319.36	8.4802
2900-3988(+)__1	66	7601.97	8.5198
164701-165746(+)__1	41	5184.3	11.3482
174748-175974(-)__1	54	6414.17	8.8836
216373-220948(+)__1	77	8802.13	9.1653
224487-230469(-)__1	71	8436.81	8.506
260453-261600(-)__1	52	6065.93	8.4759
287993-290600(+)__1	59	7033.35	11.6345
319294-319649(-)__1	19	2482.89	10.3822
326566-326969(+)__1	27	3015.47	7.865
369271-370323(-)__1	39	4459.23	11.7783
436949-437228(-)__1	22	2777.2	4.4258
458195-461881(-)__1	68	7680.65	9.4984
462516-465663(+)__1	87	9882.34	9.817
467233-467817(+)__1	25	2822.34	10.373
500259-500933(+)__1	81	9509.49	9.1588
530784-531515(+)__1	33	3808.45	9.0206
554166-555045(-)__1	57	6474.41	8.9588
606354-606937(-)__1	26	2844.42	4.4258
621911-622129(-)__1	35	3904.61	4.4209
647612-648741(-)__1	31	3793.54	9.4339
654195-654505(+)__1	13	1553.82	9.3247
657940-658693(+)__1	43	4790.87	7.8693
672265-673092(+)__1	19	2160.58	12.2225
682182-682409(+)__1	21	2630.14	10.0998
705569-707444(+)__1	48	5578.6	9.9403
716093-717097(-)__1	28	3116.51	7.9821
721009-721432(-)__1	22	2715.29	10.2298
741898-742134(+)__1	22	2313.7	10.2325
745903-749228(+)__1	57	6847.96	12.3162
773782-774326(+)__1	35	4123.92	11.5797
791781-792113(-)__1	34	4049.81	10.4211
2283-2734(-)__1	30	3365.95	9.5125
10446-11448(+)__1	37	4169.81	5.9354
0-818(+)__1	40	4633.55	8.9294
3050-4250(+)__1	36	4226.9	6.4311
13683-16186(-)__1	66	7931.12	9.286
0-353(-)__1	21	2287.67	12.036
10801-11867(-)__1	42	4700.26	4.0728
6297-6629(+)__1	17	1895.33	8.7571
3315-4413(-)__1	44	5280.07	6.0378
770-6314(+)__1	71	8377.85	9.6827
0-4619(-)__1	42	4770.85	10.7905
3917-4152(-)__1	8	903.11	10.0
0-2874(+)__1	64	7273.43	10.8255
1585-2435(-)__1	77	8701.84	7.318
0-2273(+)__1	48	5719.81	7.0768
0-2272(-)__1	51	6035.02	10.9646
314-1707(-)__1	42	4911.8	10.2366
0-1766(+)__1	70	8046.59	10.2781
285-1404(-)__1	155	17341.84	9.4108
5-1078(-)__1	49	5531.32	9.8344
0-982(-)__1	49	5600.28	9.1058
332-967(+)__1	44	4888.82	8.5397
3-896(-)__1	72	8730.07	9.7506
17-816(+)__1	35	3937.53	4.3656
10-815(-)__1	44	5051.04	11.0734
1-799(+)__1	61	7229.5	8.2711
23-768(-)__1	39	4710.64	9.629
25-631(-)__1	35	4283.02	9.8382
0-755(-)__1	54	6069.13	10.2142
410-667(+)__1	33	4011.94	9.1071
0-627(-)__1	7	756.87	5.55
0-621(+)__1	54	6182.25	8.7569
0-607(+)__1	61	6824.68	6.044
2-603(-)__1	24	2570.9	4.421
0-585(+)__1	29	3457.06	10.7368
0-555(+)__1	35	3753.18	8.7195
0-333(-)__1	39	4683.42	8.7184
1-542(-)__1	22	2569.99	10.4996
1-533(-)__1	50	6143.1	8.4282
74-508(+)__1	68	7846.19	8.044
0-500(-)__1	15	1543.88	5.55
